neighborhood,tier,price_level,price_score,walkability,walkability_score,nightlife,nightlife_score,safety,safety_score,age_demo_low,age_demo_high,transit_access,commute_uptown_min,best_archetypes,avoid_archetypes,key_vibes,key_cons
South End,1,Expensive,3,Excellent,5,Excellent,5,Good,3,22,32,Light Rail,10,"Young Professional,Social Butterfly,Urban Seeker","Family with Kids,Retiree,Quiet Seeker","trendy,breweries,walkable,young,rail trail","expensive,noise,transient,construction"
NoDa,1,Moderate,2,Very Good,4,Very Good,4,Mixed,2,25,35,Light Rail,18,"Creative,Artist,Hipster,Craft Beer Lover","Family with Kids,Safety-First,Corporate","artsy,murals,live music,authentic,funky","crime nearby,parking,gentrifying"
Plaza Midwood,1,Moderate,2,Very Good,4,Very Good,4,Good,3,25,40,Bus,15,"Foodie,Community Seeker,Dog Owner,Young Family","Corporate,Suburban Seeker","eclectic,diverse,community,historic,food scene","traffic,parking,rising prices"
Dilworth,1,Expensive,3,Excellent,5,Good,3,Very Good,4,30,45,Near Light Rail,12,"Established Professional,Young Family,Dog Owner","Budget Starter,Nightlife Seeker","historic,tree-lined,bungalows,safe,walkable","expensive,quieter nightlife"
Uptown,1,Expensive,3,Excellent,5,Very Good,4,Variable,2,25,35,Excellent,0,"Finance Pro,Urban Maximalist,Walk-to-Work","Family with Kids,Quiet Seeker,Budget Starter","urban core,high-rise,corporate,central","traffic,noise,safety varies"
Elizabeth,1,Moderate-Expensive,2.5,Excellent,5,Good,3,Excellent,5,28,40,Streetcar,8,"Safety-First,Historic Charm Lover,Young Professional","Nightlife Seeker,Budget Starter","historic,victorian,safe,walkable,charming","less transit,expensive homes"
Myers Park,1,Very Expensive,4,Good,3,Moderate,2,Excellent,5,35,55,Car + Greenway,15,"Affluent Family,Executive,School-Focused","Budget Starter,Nightlife Seeker,Young Single","prestigious,elegant,top schools,safe,old money","very expensive,exclusive"
University City,2,Affordable,1,Low-Moderate,2,Moderate,2,Moderate,2,18,28,Light Rail,30,"Student,Budget Starter,Research Park Worker","Affluent Family,Safety-First","college town,diverse,affordable,energetic","safety varies,lacks community"
Ballantyne,2,Expensive,3,Low,1,Low,1,Excellent,5,35,50,Car Only,40,"Suburban Family,School-Focused,Safety-First","Nightlife Seeker,Urban Seeker,Young Single","suburban,safe,schools,golf,bubble","traffic,isolated,limited culture"
SouthPark,2,Expensive,3,Moderate,3,Upscale,3,Excellent,5,30,50,Light Rail,20,"Affluent Professional,Shopper,Family","Budget Starter,Nightlife Seeker","upscale,mall,safe,polished,dining","traffic,expensive,competitive"
Montford,2,Moderate,2,High (strip),4,Excellent,5,Good,3,25,40,Car,15,"Nightlife Seeker,Foodie,Bar Hopper","Family with Kids,Quiet Seeker","bar strip,restaurants,laid-back,foodie","small community,car needed"
Wesley Heights,2,Moderate-Expensive,2.5,Good,3,Growing,2,Mixed,2,28,40,Near Uptown,8,"Urban Pioneer,History Buff,Young Professional","Safety-First,Suburban Seeker","historic,gentrifying,urban,skyline views","gentrification,rising prices,transitional"
FreeMoreWest,2,Affordable-Moderate,1.5,Improving,2,Growing,2,Transitional,2,25,35,Near Uptown,10,"Early Adopter,Creative,Budget Urban","Safety-First,Established Family","emerging,authentic,community,opportunity zone","still developing,some rough areas"
Sedgefield,2,Moderate,2,Excellent,5,Good Access,3,Good,3,28,40,Light Rail,12,"Transit Commuter,Walkability Seeker,South End Adjacent","Car-Dependent,Suburban Seeker","charming,bungalows,rail trail,transit","mostly rentals,rising prices"
Matthews,3,Moderate,2,Moderate,3,Limited,1,Excellent,5,35,50,Car Only,30,"Family,Small-Town Seeker,Community Lover","Nightlife Seeker,Urban Seeker","small-town,community,festivals,safe,schools","traffic,no transit,limited nightlife"
Huntersville,3,Moderate-Expensive,2.5,Low,1,Moderate,2,Very Good,4,35,50,Car Only,45,"Lake Lover,Outdoor Family,Remote Worker","Daily Commuter,Urban Seeker","lake norman,outdoor,birkdale,family","I-77 traffic brutal,crowding"
Cornelius,3,Expensive,3,Low,1,Limited,1,Excellent,5,40,60,Car Only,60,"Affluent Lake Seeker,Retiree,Boater","Budget Starter,Daily Commuter,Young Single","lakefront,upscale,quiet,waterfront","I-77 nightmare,expensive,isolated"
Davidson,3,Very Expensive,4,Excellent,5,Moderate,2,Exceptional,5,35,55,Car,55,"Culture Seeker,Academic,Walkability Priority","Budget Starter,Nightlife Seeker","college town,walkable,safest,charming,cultural","very expensive,I-77 commute"
Pineville,3,Affordable,1,Low-Moderate,2,Moderate,2,Good,3,25,35,Car,20,"Budget Starter,Young Diverse,First-Time Buyer","School-Focused,Prestigious Seeker","affordable,diverse,young,accessible","roads,schools average,less prestige"
Mint Hill,3,Moderate,2,Low,1,Very Limited,1,Excellent,5,35,50,Car Only,25,"Quiet Family,Privacy Seeker,Elementary School Focus","Nightlife Seeker,Urban Seeker,Young Single","quiet,wooded,private,safe,rural-suburban","limited entertainment,average middle/high schools"
